time/ka,W/m^2
-1443,455.307316
-1442,452.958507
-1441,452.574744
-1440,453.728917
-1439,456.085873
-1438,459.579615
-1437,463.591276
-1436,468.035746
-1435,472.698024
-1434,477.638323
-1433,481.644505
-1432,485.019224
-1431,487.133919
-1430,487.192367
-1429,485.07265
-1428,480.774195
-1427,475.052336
-1426,468.170402
-1425,461.11138
-1424,454.884578
-1423,449.691787
-1422,445.859156
-1421,443.67732
-1420,442.894202
-1419,443.429774
-1418,445.121138
-1417,447.527353
-1416,450.654821
-1415,454.159142
-1414,457.799379
-1413,461.554094
-1412,465.184566
-1411,468.536514
-1410,471.784475
-1409,474.847097
-1408,477.651231
-1407,480.565549
-1406,483.389128
-1405,486.190144
-1404,488.811689
-1403,491.409863
-1402,493.472375
-1401,494.973132
-1400,495.714261
-1399,495.194657
-1398,493.582391
-1397,490.449748
-1396,485.70889
-1395,479.781391
-1394,472.721381
-1393,465.325537
-1392,457.957186
-1391,451.470934
-1390,446.306822
-1389,442.883771
-1388,441.387122
-1387,441.719834
-1386,443.976381
-1385,447.91967
-1384,453.494387
-1383,460.412098
-1382,468.26517
-1381,476.369136
-1380,483.855118
-1379,489.718003
-1378,492.499653
-1377,491.408294
-1376,486.524874
-1375,478.603232
-1374,468.260434
-1373,457.626527
-1372,448.722138
-1371,441.859091
-1370,437.57844
-1369,436.138643
-1368,437.332523
-1367,440.553873
-1366,445.747042
-1365,452.269945
-1364,459.551603
-1363,468.462567
-1362,478.378016
-1361,488.819687
-1360,499.621047
-1359,508.803879
-1358,514.810706
-1357,516.475702
-1356,512.748113
-1355,503.934871
-1354,490.922526
-1353,476.063831
-1352,461.486414
-1351,448.811836
-1350,439.496613
-1349,433.231609
-1348,430.050624
-1347,429.747762
-1346,431.617039
-1345,435.258704
-1344,440.738333
-1343,447.193859
-1342,454.74424
-1341,463.533761
-1340,472.51455
-1339,480.823139
-1338,487.448746
-1337,491.68066
-1336,492.519004
-1335,489.663443
-1334,484.159888
-1333,476.599534
-1332,468.554843
-1331,461.729281
-1330,456.396138
-1329,452.97661
-1328,451.853976
-1327,452.498173
-1326,454.867637
-1325,458.459177
-1324,463.172616
-1323,468.586106
-1322,474.033919
-1321,479.713369
-1320,484.882407
-1319,489.102466
-1318,491.942853
-1317,493.256983
-1316,492.600431
-1315,490.281204
-1314,486.457995
-1313,481.662654
-1312,476.461142
-1311,471.127869
-1310,466.290512
-1309,462.196728
-1308,458.980251
-1307,456.598469
-1306,455.210361
-1305,454.589554
-1304,454.571259
-1303,454.930491
-1302,455.394841
-1301,455.853148
-1300,456.065557
-1299,455.799858
-1298,455.187186
-1297,454.35851
-1296,453.724272
-1295,453.591634
-1294,454.220736
-1293,455.709586
-1292,458.223576
-1291,461.589881
-1290,465.997179
-1289,471.08766
-1288,476.786267
-1287,482.588713
-1286,488.55716
-1285,494.206659
-1284,498.615547
-1283,501.424583
-1282,502.172136
-1281,500.502465
-1280,496.232018
-1279,490.250679
-1278,482.692067
-1277,475.06501
-1276,467.512878
-1275,461.323549
-1274,456.525793
-1273,453.426968
-1272,451.902906
-1271,451.932654
-1270,453.443392
-1269,455.921035
-1268,459.883673
-1267,464.70751
-1266,469.620277
-1265,475.244856
-1264,479.700565
-1263,482.863857
-1262,483.252905
-1261,480.458476
-1260,474.787196
-1259,466.660148
-1258,457.559538
-1257,448.887529
-1256,442.065384
-1255,437.432712
-1254,435.17392
-1253,435.460703
-1252,437.951756
-1251,442.215323
-1250,448.01493
-1249,455.071352
-1248,463.107199
-1247,471.704828
-1246,480.348655
-1245,488.715137
-1244,495.303453
-1243,500.098214
-1242,501.811568
-1241,500.500808
-1240,496.386213
-1239,490.017091
-1238,482.674404
-1237,475.878335
-1236,469.973378
-1235,465.478989
-1234,462.64216
-1233,461.413903
-1232,461.597744
-1231,462.957888
-1230,465.151016
-1229,468.208553
-1228,471.302193
-1227,474.544113
-1226,477.204612
-1225,479.193127
-1224,479.311894
-1223,477.700798
-1222,474.209278
-1221,469.111209
-1220,463.094662
-1219,456.999888
-1218,451.368307
-1217,447.394141
-1216,444.807692
-1215,444.208341
-1214,445.386082
-1213,448.21722
-1212,452.508845
-1211,457.767788
-1210,463.773159
-1209,470.280217
-1208,476.315862
-1207,481.437809
-1206,485.07683
-1205,486.829079
-1204,486.501593
-1203,483.931175
-1202,480.408587
-1201,475.788367
-1200,471.073652
-1199,467.34586
-1198,464.196778
-1197,462.495704
-1196,462.074915
-1195,462.718978
-1194,464.6371
-1193,467.367989
-1192,470.870017
-1191,474.955692
-1190,479.296516
-1189,483.44721
-1188,486.841739
-1187,489.226839
-1186,489.091294
-1185,486.2612
-1184,480.989677
-1183,472.883277
-1182,463.888313
-1181,454.779981
-1180,446.239875
-1179,440.176953
-1178,436.108437
-1177,434.54751
-1176,435.335959
-1175,437.98974
-1174,442.737539
-1173,448.585168
-1172,455.990214
-1171,464.395251
-1170,472.929115
-1169,481.915303
-1168,490.126352
-1167,497.021408
-1166,501.122057
-1165,502.196363
-1164,499.935584
-1163,494.368116
-1162,487.060215
-1161,478.842487
-1160,470.314179
-1159,463.670617
-1158,457.919254
-1157,454.719728
-1156,452.944895
-1155,452.989849
-1154,454.601434
-1153,457.168966
-1152,460.937353
-1151,465.41026
-1150,469.885742
-1149,474.977127
-1148,478.799949
-1147,482.339563
-1146,483.674445
-1145,483.22766
-1144,480.674113
-1143,476.374247
-1142,471.255934
-1141,465.568599
-1140,460.139151
-1139,455.716997
